date,open,high,low,close,volume
2020-05-24T00:00:00-04:00,9181.09,9306.23,8680.7,8715.73,32518803300.0
2020-05-23T00:00:00-04:00,9168.84,9313.83,9090.11,9181.76,27727866812.0
2020-05-22T00:00:00-04:00,9059.32,9267.34,8923.5,9168.84,29810773699.0
2020-05-21T00:00:00-04:00,9509.4,9568.0,8800.0,9061.96,39326160532.0
2020-05-20T00:00:00-04:00,9783.57,9836.99,9294.54,9509.41,36546239703.0
2020-05-19T00:00:00-04:00,9728.52,9898.0,9463.22,9783.76,39254288955.0
2020-05-18T00:00:00-04:00,9677.45,9957.25,9436.97,9728.52,41827139896.0
2020-05-17T00:00:00-04:00,9380.01,9896.0,9325.81,9676.63,40084250663.0
2020-05-16T00:00:00-04:00,9312.1,9594.99,9215.01,9383.16,36164766408.0
2020-05-15T00:00:00-04:00,9795.34,9849.0,9120.0,9312.1,48158802327.0
2020-05-14T00:00:00-04:00,9320.85,9943.93,9257.15,9795.34,56426907637.0
2020-05-13T00:00:00-04:00,8821.41,9420.18,8803.97,9321.26,45558144023.0
2020-05-12T00:00:00-04:00,8572.4,8982.9,8534.85,8821.42,42142717533.0
2020-05-11T00:00:00-04:00,8729.86,9182.66,8185.0,8572.4,57119858802.0
2020-05-10T00:00:00-04:00,9537.21,9559.98,8106.7,8729.86,63325279337.0
2020-05-09T00:00:00-04:00,9810.01,9920.73,9521.0,9537.21,46566121841.0
2020-05-08T00:00:00-04:00,10000.37,10049.0,9730.0,9810.0,51780748042.0
2020-05-07T00:00:00-04:00,9155.79,10079.0,9028.89,10004.77,61112700562.0
2020-05-06T00:00:00-04:00,9028.78,9418.0,8922.13,9155.79,49371886931.0
2020-05-05T00:00:00-04:00,8887.81,9126.27,8769.69,9028.79,43148462663.0
2020-05-04T00:00:00-04:00,8907.85,8970.0,8533.98,8883.53,45718796276.0
2020-05-03T00:00:00-04:00,8984.69,9203.52,8731.01,8909.95,47101785174.0
2020-05-02T00:00:00-04:00,8829.42,9025.0,8762.01,8985.58,40134388683.0
2020-05-01T00:00:00-04:00,8624.68,9075.98,8622.72,8829.42,44068389997.0
2020-04-30T00:00:00-04:00,8794.99,9478.66,8407.0,8624.28,66964629541.0
2020-04-29T00:00:00-04:00,7757.18,8988.0,7720.0,8793.75,60201052203.0
2020-04-28T00:00:00-04:00,7789.77,7794.74,7672.0,7755.01,33187959921.0
2020-04-27T00:00:00-04:00,7706.4,7810.99,7635.69,7789.77,36162144725.0
2020-04-26T00:00:00-04:00,7547.61,7715.0,7490.0,7706.4,33070154491.0
2020-04-25T00:00:00-04:00,7514.99,7720.0,7437.94,7547.61,32941541447.0
2020-04-24T00:00:00-04:00,7491.5,7612.24,7390.0,7514.64,34636526286.0
2020-04-23T00:00:00-04:00,7136.81,7775.0,7031.14,7488.83,43500782316.0
2020-04-22T00:00:00-04:00,6853.67,7167.37,6826.0,7136.84,33249153866.0
2020-04-21T00:00:00-04:00,6837.22,6959.0,6776.0,6853.68,32589741511.0
2020-04-20T00:00:00-04:00,7130.7,7227.11,6748.72,6838.19,37747113936.0
2020-04-19T00:00:00-04:00,7262.04,7275.0,7063.02,7130.71,31311210215.0
2020-04-18T00:00:00-04:00,7036.45,7308.0,7021.0,7261.76,32447188386.0
2020-04-17T00:00:00-04:00,7114.76,7156.66,7000.0,7037.46,32513423567.0
2020-04-16T00:00:00-04:00,6623.62,7217.27,6456.0,7112.64,46783242377.0
2020-04-15T00:00:00-04:00,6876.92,6940.0,6605.89,6624.12,32288311031.0
2020-04-14T00:00:00-04:00,6860.51,6997.38,6771.41,6877.37,34110434052.0
2020-04-13T00:00:00-04:00,6908.12,6908.13,6555.0,6861.21,38619308647.0
2020-04-12T00:00:00-04:00,6889.78,7200.0,6787.44,6908.13,35759567632.0
2020-04-11T00:00:00-04:00,6871.83,6955.0,6775.0,6889.65,31222085946.0
2020-04-10T00:00:00-04:00,7293.23,7305.91,6750.0,6871.91,43622840992.0
2020-04-09T00:00:00-04:00,7370.38,7377.0,7110.0,7293.24,34815139178.0
2020-04-08T00:00:00-04:00,7200.01,7430.0,7154.22,7370.11,37563249549.0
2020-04-07T00:00:00-04:00,7341.55,7466.0,7073.0,7200.01,44243482668.0
2020-04-06T00:00:00-04:00,6778.64,7373.37,6773.28,7341.56,46896904615.0
2020-04-05T00:00:00-04:00,6874.77,6925.0,6681.0,6778.25,29510409856.0
2020-04-04T00:00:00-04:00,6741.99,7025.53,6658.16,6874.77,33185988584.0
2020-04-03T00:00:00-04:00,6804.24,7050.0,6606.06,6741.99,38976504903.0
2020-04-02T00:00:00-04:00,6666.11,7292.11,6570.92,6804.52,47660646124.0
2020-04-01T00:00:00-04:00,6424.02,6744.99,6160.0,6666.11,40346426266.0
2020-03-31T00:00:00-04:00,6406.4,6524.79,6333.91,6424.35,32786468812.0
2020-03-30T00:00:00-04:00,5878.98,6631.23,5853.0,6406.4,37101651525.0
2020-03-29T00:00:00-04:00,6251.45,6279.96,5870.46,5877.21,28373690931.0
2020-03-28T00:00:00-04:00,6372.36,6372.36,6030.0,6251.82,34885225901.0
2020-03-27T00:00:00-04:00,6760.0,6880.0,6260.0,6372.36,34585598367.0
2020-03-26T00:00:00-04:00,6691.71,6795.0,6520.13,6758.18,35319797642.0
2020-03-25T00:00:00-04:00,6766.0,6983.31,6470.0,6690.96,44590107888.0
2020-03-24T00:00:00-04:00,6493.58,6866.1,6403.16,6766.64,48221910672.0
2020-03-23T00:00:00-04:00,5815.24,6641.03,5678.2,6490.63,46491916000.0
2020-03-22T00:00:00-04:00,6198.64,6420.0,5738.0,5818.25,40099664740.0
2020-03-21T00:00:00-04:00,6210.47,6470.0,5851.0,6198.78,42494390880.0
2020-03-20T00:00:00-04:00,6183.82,6990.0,5657.0,6206.1,54442976103.0
2020-03-19T00:00:00-04:00,5413.88,6441.37,5261.69,6186.26,51000731797.0
