date,open,high,low,close,volume
2026-01-15T00:00:00-05:00,25.962,26.102,24.366,24.744,241332753.0
2026-01-14T00:00:00-05:00,25.727,26.861,25.606,25.963,252578128.0
2026-01-13T00:00:00-05:00,23.742,25.818,23.725,25.727,241549360.0
2026-01-12T00:00:00-05:00,24.412,25.383,23.121,23.742,225368972.0
2026-01-11T00:00:00-05:00,24.028,24.657,23.981,24.412,116607720.0
2026-01-10T00:00:00-05:00,25.073,25.076,23.791,24.028,126096514.0
2026-01-09T00:00:00-05:00,25.674,26.195,24.95,25.073,206806560.0
2026-01-08T00:00:00-05:00,26.874,27.062,25.585,25.674,187574112.0
2026-01-07T00:00:00-05:00,28.251,28.379,26.471,26.874,224322802.0
2026-01-06T00:00:00-05:00,26.498,28.39,26.11,28.25,343596104.0
2026-01-05T00:00:00-05:00,26.862,27.478,25.792,26.498,292721721.0
2026-01-04T00:00:00-05:00,25.372,26.876,24.857,26.861,225814464.0
2026-01-03T00:00:00-05:00,24.583,25.429,24.286,25.372,190733569.0
2026-01-02T00:00:00-05:00,24.221,24.971,24.068,24.583,226226059.0
2026-01-01T00:00:00-05:00,25.441,26.054,23.793,24.221,226226059.0
2025-12-31T00:00:00-05:00,25.949,26.221,25.29,25.439,220287707.0
2025-12-30T00:00:00-05:00,25.783,26.671,25.365,25.948,195607039.0
2025-12-29T00:00:00-05:00,25.348,26.397,25.251,25.784,195607039.0
2025-12-28T00:00:00-05:00,25.952,26.305,24.83,25.349,161309984.0
2025-12-27T00:00:00-05:00,25.78,26.408,25.382,25.951,114650219.0
2025-12-26T00:00:00-05:00,24.39,25.822,24.35,25.778,147634629.0
2025-12-25T00:00:00-05:00,25.154,25.2,24.189,24.389,114617488.0
2025-12-24T00:00:00-05:00,23.973,25.23,23.62,25.154,154960881.0
2025-12-23T00:00:00-05:00,24.877,24.997,23.657,23.973,196040128.0
2025-12-22T00:00:00-05:00,24.836,25.674,24.417,24.875,246300571.0
2025-12-21T00:00:00-05:00,24.003,24.837,23.595,24.836,155626832.0
2025-12-20T00:00:00-05:00,24.87,25.523,23.807,24.002,155268336.0
2025-12-19T00:00:00-05:00,22.457,25.09,22.196,24.87,358810699.0
2025-12-18T00:00:00-05:00,24.483,25.263,22.441,22.454,535876640.0
2025-12-17T00:00:00-05:00,26.801,28.302,24.237,24.483,548550599.0
2025-12-16T00:00:00-05:00,27.612,27.67,26.057,26.801,355960096.0
2025-12-15T00:00:00-05:00,28.831,29.576,27.195,27.612,371893504.0
2025-12-14T00:00:00-05:00,29.581,29.894,28.345,28.831,241705296.0
2025-12-13T00:00:00-05:00,28.608,29.733,27.938,29.581,168548227.0
2025-12-12T00:00:00-05:00,29.128,30.246,28.336,28.609,305667120.0
2025-12-11T00:00:00-05:00,28.83,29.22,26.897,29.129,337319686.0
2025-12-10T00:00:00-05:00,27.913,29.973,27.639,28.83,303978656.0
2025-12-09T00:00:00-05:00,29.499,29.531,27.447,27.914,406611925.0
2025-12-08T00:00:00-05:00,29.744,30.958,28.677,29.499,308991200.0
2025-12-07T00:00:00-05:00,30.972,31.231,28.167,29.744,384651200.0
2025-12-06T00:00:00-05:00,30.986,31.5,30.623,30.974,335169379.0
2025-12-05T00:00:00-05:00,33.55,33.906,30.504,30.986,313868080.0
2025-12-04T00:00:00-05:00,34.69,36.179,33.098,33.548,352450695.0
2025-12-03T00:00:00-05:00,33.842,35.363,33.377,34.689,450478732.0
2025-12-02T00:00:00-05:00,31.014,34.377,30.356,33.842,464036543.0
2025-12-01T00:00:00-05:00,31.953,32.075,29.231,31.014,464036543.0
